CRPFilerid,is_scam
C00543330,0
C00712208,0
C00516724,0
C00682492,0
C00746073,0
C00253906,0
C00480145,0
C00374306,0
C00448696,1
C00697979,0
C00377960,0
C00336768,0
C00739342,0
C00035683,0
C00761189,0
C00709097,0
C00576215,0
C00726349,0
C00758797,0
C00749077,0
C00670331,0
C00745521,0
C00252940,1
C00699801,0
C00076182,0
C00745430,0
C00709691,1
C00461236,0
C00395244,0
C00659029,0
C00671933,0
C00635201,0
C00005249,0
C00759035,0
C00632679,0
C00004036,1
C00728402,0
C00207399,0
C00757286,0
C00748830,0
C00250993,0
C00589945,0
C00374447,0
C00527275,0
C00696658,0
C00743351,0
C00683052,0
C00719781,0
C00756304,0
C00753608,0
C00040949,0
C00676684,0
C00646992,0
C00160259,0
C00611871,0
C00756908,0
C00723841,0
C00611897,0
C00578187,0
C00150672,1
C00379479,0
C00734582,0
C00319319,0
C00415257,0
C00745539,0
C00691949,0
C00657858,0
C00762823,0
C00717710,0
C00145037,0
C00742734,0
C00714436,0
C00479253,0
C00638213,0
C00740365,0
C00652826,0
C00263483,0
C00272468,0
C00380931,0
C00754572,0
C00667865,1
C00566133,0
C00634584,0
C00746651,1
C00763003,0
C00656637,0
C00540229,0
C00448746,0
C00564690,0
C00752923,0
C00719393,0
C00331918,0
C00060103,0
C00707950,0
C00408500,0
C00105668,1
C00247262,0
C00759316,0
C00560078,0
C00331694,0
C00342394,0
C00731356,0
C00758227,0
C00751099,0
C00525899,0
C00708255,0
C00033969,0
C00359687,0
C00408120,0
C00529628,0
C00748475,0
C00469395,0
C00000984,0
C00687582,0
C00682740,0
C00215285,0
C00013342,0
C00683813,0
C00654426,0
C00100644,0
C00274258,0
C00398040,0
C00690149,0
C00213066,0
C00672600,0
C00235572,0
C00436048,0
C00211318,0
C00335414,0
C00572503,0
C00528984,0
C00657866,1
C00683839,0
C00357129,0
C00396085,0
C00695163,0
C00571802,0
C00750414,0
C00737742,0
C00635250,0
C00591826,0
C00250027,0
C00747980,0
C00072751,0
C00075275,0
C00737239,0
C00210344,0
C00251447,0
C00740415,0
C00438291,0
C00737270,0
C00712638,0
C00693564,0
C00340075,0
C00611962,0
C00571414,0
C00724237,0
C00664706,0
C00547497,0
C00423442,0
C00561647,0
C00184028,0
C00039214,0
C00299396,0
C00385609,0
C00002881,0
C00724435,0
C00696799,0
C00402081,0
C00396887,0
C00111278,0
